Report date,Delay local link (-),Delay local link (+),Cases with delay - local link (-),Cases with delay - local link (+),Local link (+),Local link (-)
2021-02-11,206.0,212.0,38.0,56.0,3.7857142857142856,5.421052631578948
2021-02-12,156.0,170.0,30.0,45.0,3.7777777777777777,5.2
2021-02-13,159.0,133.0,28.0,33.0,4.03030303030303,5.678571428571429
2021-02-14,195.0,110.0,30.0,26.0,4.230769230769231,6.5
2021-02-15,168.0,107.0,27.0,25.0,4.28,6.222222222222222
2021-02-16,134.0,116.0,21.0,22.0,5.2727272727272725,6.380952380952381
2021-02-17,155.0,120.0,22.0,20.0,6.0,7.045454545454546
2021-02-18,184.0,148.0,26.0,25.0,5.92,7.076923076923077
2021-02-19,204.0,184.0,28.0,31.0,5.935483870967742,7.285714285714286
2021-02-20,195.0,205.0,28.0,36.0,5.694444444444445,6.964285714285714
2021-02-21,173.0,240.0,26.0,43.0,5.5813953488372094,6.653846153846154
2021-02-22,156.0,266.0,23.0,51.0,5.215686274509804,6.782608695652174
2021-02-23,158.0,280.0,23.0,60.0,4.666666666666667,6.869565217391305
2021-02-24,172.0,309.0,24.0,71.0,4.352112676056338,7.166666666666667
2021-02-25,147.0,259.0,20.0,68.0,3.8088235294117645,7.35
2021-02-26,143.0,237.0,21.0,66.0,3.590909090909091,6.809523809523809
2021-02-27,156.0,219.0,23.0,62.0,3.532258064516129,6.782608695652174
2021-02-28,145.0,175.0,23.0,56.0,3.125,6.304347826086956
2021-03-01,149.0,155.0,24.0,50.0,3.1,6.208333333333333
2021-03-02,158.0,113.0,25.0,37.0,3.054054054054054,6.32
2021-03-03,118.0,65.0,23.0,23.0,2.8260869565217392,5.130434782608695
2021-03-04,128.0,60.0,25.0,21.0,2.857142857142857,5.12
2021-03-05,122.0,47.0,24.0,18.0,2.611111111111111,5.083333333333333
2021-03-06,112.0,59.0,22.0,20.0,2.95,5.090909090909091
2021-03-07,111.0,60.0,19.0,19.0,3.1578947368421053,5.842105263157895
2021-03-08,116.0,65.0,20.0,23.0,2.8260869565217392,5.8
2021-03-09,113.0,143.0,21.0,53.0,2.69811320754717,5.380952380952381
2021-03-10,109.0,197.0,20.0,75.0,2.6266666666666665,5.45
2021-03-11,131.0,201.0,25.0,79.0,2.5443037974683542,5.24
2021-03-12,115.0,218.0,22.0,87.0,2.5057471264367814,5.2272727272727275
2021-03-13,108.0,202.0,21.0,85.0,2.376470588235294,5.142857142857143
2021-03-14,94.0,200.0,21.0,85.0,2.3529411764705883,4.476190476190476
2021-03-15,117.0,183.0,22.0,78.0,2.3461538461538463,5.318181818181818
2021-03-16,108.0,124.0,19.0,52.0,2.3846153846153846,5.684210526315789
2021-03-17,104.0,81.0,18.0,30.0,2.7,5.777777777777778
2021-03-18,64.0,69.0,10.0,23.0,3.0,6.4
2021-03-19,74.0,58.0,11.0,17.0,3.411764705882353,6.7272727272727275
2021-03-20,74.0,58.0,11.0,17.0,3.411764705882353,6.7272727272727275
2021-03-21,71.0,58.0,10.0,15.0,3.8666666666666667,7.1
2021-03-22,39.0,59.0,7.0,16.0,3.6875,5.571428571428571
2021-03-23,35.0,41.0,6.0,13.0,3.1538461538461537,5.833333333333333
2021-03-24,39.0,26.0,7.0,11.0,2.3636363636363638,5.571428571428571
2021-03-25,39.0,24.0,7.0,10.0,2.4,5.571428571428571
2021-03-26,34.0,17.0,7.0,7.0,2.4285714285714284,4.857142857142857
2021-03-29,28.0,13.0,6.0,5.0,2.6,4.666666666666667
2021-03-31,21.0,6.0,5.0,4.0,1.5,4.2
2021-04-01,21.0,1.0,5.0,1.0,1.0,4.2
